,max_depth,sessions_count,sessions_typ_count
1244,1311,2,0
1245,1312,3,0
1246,1313,4,0
1247,1314,1,0
1248,1316,1,0
1249,1317,1,0
1250,1318,2,0
1251,1319,1,0
1252,1320,1,0
1253,1321,1,0
1254,1322,5,0
1255,1324,2,0
1256,1325,3,0
1257,1326,1,0
1258,1327,1,0
1259,1328,3,1
1260,1330,2,1
1261,1331,2,0
1262,1333,4,0
1263,1334,2,2
1264,1335,2,0
1265,1336,3,0
1266,1337,2,0
1267,1338,2,0
1268,1339,1,0
1269,1340,3,0
1270,1341,4,0
1271,1342,2,0
1272,1343,1,0
1273,1344,1,0
1274,1345,3,0
1275,1346,1,0
1276,1347,3,0
1277,1348,2,0
1278,1349,1,0
1279,1350,3,0
1280,1351,1,0
1281,1352,2,0
1282,1353,2,0
1283,1354,2,0
1284,1355,1,0
1285,1356,3,1
1286,1357,4,0
1287,1359,1,0
1288,1360,3,0
1289,1361,1,0
1290,1362,1,0
1291,1363,3,0
1292,1364,3,0
1293,1365,1,0
1294,1366,1,0
1295,1371,1,0
1296,1372,2,0
1297,1373,2,1
1298,1374,3,1
1299,1375,1,0
1300,1376,2,0
1301,1377,4,0
1302,1378,2,0
1303,1379,1,0
1304,1380,3,0
1305,1381,2,0
1306,1382,2,0
1307,1384,4,0
1308,1385,3,0
1309,1388,1,1
1310,1389,2,0
1311,1390,1,1
1312,1391,3,0
1313,1394,1,0
1314,1398,2,1
1315,1399,3,0
1316,1400,2,0
1317,1401,1,1
1318,1405,1,0
1319,1406,1,0
1320,1407,5,1
1321,1408,4,0
1322,1409,3,1
1323,1410,4,0
1324,1411,2,0
1325,1412,2,0
1326,1413,2,0
1327,1414,2,1
1328,1415,1,1
1329,1416,2,0
1330,1417,1,0
1331,1418,3,0
1332,1419,1,0
1333,1420,1,0
1334,1421,2,0
1335,1422,5,1
1336,1423,4,1
1337,1427,4,1
1338,1428,1,0
1339,1429,1,0
1340,1430,2,0
1341,1431,2,0
1342,1432,1,0
1343,1433,1,0
1344,1434,3,1
1345,1435,1,0
1346,1437,2,0
1347,1438,1,0
1348,1439,1,0
1349,1441,1,0
1350,1442,1,0
1351,1444,1,0
1352,1445,1,1
1353,1446,2,1
1354,1447,2,0
1355,1450,2,1
1356,1453,1,0
1357,1454,2,1
1358,1456,3,0
1359,1457,2,0
1360,1458,1,0
1361,1459,2,1
1362,1460,2,0
1363,1461,2,0
1364,1463,1,0
1365,1466,1,0
1366,1467,4,1
1367,1468,1,0
1368,1470,3,0
1369,1473,1,0
1370,1474,2,0
1371,1475,1,0
1372,1476,1,1
1373,1478,1,0
1374,1479,2,1
1375,1480,2,0
1376,1482,4,0
1377,1485,1,0
1378,1486,1,0
1379,1488,4,0
1380,1490,1,0
1381,1492,2,0
1382,1493,2,0
1383,1494,2,0
1384,1495,2,0
1385,1497,2,1
1386,1498,2,1
1387,1499,1,0
1388,1500,1,0
1389,1501,1,0
1390,1502,1,0
1391,1503,4,0
1392,1504,1,1
1393,1505,1,0
1394,1506,1,0
1395,1508,2,0
1396,1509,1,0
1397,1510,1,0
1398,1512,1,0
1399,1514,1,0
1400,1515,2,1
1401,1517,1,0
1402,1518,1,0
1403,1520,4,0
1404,1521,3,1
1405,1522,2,0
1406,1523,2,0
1407,1525,1,0
1408,1528,4,0
1409,1529,1,1
1410,1531,2,0
1411,1532,1,0
1412,1533,2,0
1413,1534,1,0
1414,1536,2,0
1415,1539,1,0
1416,1540,2,1
1417,1541,1,0
1418,1543,3,1
1419,1544,2,0
1420,1545,1,0
1421,1546,2,0
1422,1547,2,0
1423,1552,2,0
1424,1553,1,0
1425,1555,1,0
1426,1556,2,0
1427,1558,1,0
1428,1560,1,0
1429,1561,2,0
1430,1562,1,0
1431,1563,2,0
1432,1566,1,1
1433,1568,1,0
1434,1569,1,0
1435,1572,3,0
1436,1573,4,0
1437,1575,2,1
1438,1577,2,1
1439,1578,1,0
1440,1580,1,1
1441,1581,1,0
1442,1582,2,0
1443,1583,2,0
1444,1584,3,0
1445,1585,1,0
1446,1586,1,0
1447,1589,1,0
1448,1590,1,0
1449,1591,2,1
1450,1592,1,0
1451,1593,3,1
1452,1594,3,1
1453,1598,4,1
1454,1599,3,0
1455,1600,2,2
1456,1601,3,1
1457,1602,2,2
1458,1603,1,0
1459,1604,1,0
1460,1606,1,0
1461,1607,3,0
1462,1609,4,0
1463,1611,1,0
1464,1612,1,0
1465,1613,1,0
1466,1615,1,0
1467,1616,5,1
1468,1617,1,0
1469,1618,1,0
1470,1620,2,0
1471,1621,2,0
1472,1622,2,1
1473,1623,1,0
1474,1624,2,1
1475,1625,1,0
1476,1626,2,0
1477,1627,3,0
1478,1628,2,0
1479,1629,2,0
1480,1631,1,1
1481,1632,4,1
1482,1633,2,0
1483,1634,1,0
1484,1637,1,0
1485,1639,3,0
1486,1641,1,0
1487,1642,2,0
1488,1643,4,0
1489,1645,3,0
1490,1646,1,1
1491,1649,2,0
1492,1652,3,0
1493,1653,1,0
1494,1655,3,0
1495,1656,1,0
1496,1658,1,0
1497,1659,1,0
1498,1663,1,0
1499,1664,1,0
1500,1667,2,0
1501,1668,1,0
1502,1669,1,0
1503,1670,2,1
1504,1671,1,0
1505,1672,1,0
1506,1673,1,0
1507,1674,1,0
1508,1676,4,0
1509,1679,1,0
1510,1680,1,0
1511,1681,1,0
1512,1684,1,0
1513,1686,1,0
